u,v,L
-120.89770859478618,98.08859336842652,80
-114.54010794249587,106.59723789805044,80
-107.71535042374887,111.79516418401161,80
-100.20117941661587,114.66918525473477,80
-91.7775372194904,115.9301676268276,80
-82.21912447740277,116.06250691240811,80
-71.28591253588051,115.3791094876846,80
-58.71291946579851,114.06898948401204,80
-44.19964667531586,112.23380733715392,80
-27.399126284818742,109.91387348939315,80
-7.906370048384577,107.10558576408724,80
14.753982726019936,103.77244282517414,80
41.14090553737723,99.85147529641904,80
71.91098767551448,95.25653484252939,80
107.83274338816311,89.87953372104852,80
149.80028106617453,83.59048464647738,80
198.8446839335926,76.23706281548982,80
256.14048464360025,67.64439303381972,80
323.003349007058,57.61584320520867,80
400.8735533335669,45.935761069675294,80
491.2782176654068,32.37528656032761,80
595.7639559279659,16.702537038107153,80
715.7913915824457,-1.3015242818305506,80
852.5850519149456,-21.820547542707082,80
1006.9379858657693,-44.97347555198751,80
1178.9813428042219,-70.77997354148168,80
1367.9451559757592,-99.12454301968701,80
1571.9550423376631,-129.7260248750808,80
1787.9239826109406,-162.1213654438763,80
2011.599201527064,-195.67264808340815,80
2237.80273558013,-229.60317811059159,80
2460.859453540623,-263.061685772583,80
2675.1499120694916,-295.20525453952473,80
2875.6802681375148,-325.28480794507925,80
3058.5498931044153,-352.71525168841896,80
3221.2269443123855,-377.1168093690134,80
3362.5998604817455,-398.3227467942103,80
3482.832800363195,-416.35768777635815,80
3583.0926171706883,-431.3966602974594,80
3665.2252925690273,-443.716561607203,80
3731.4464171178406,-453.64973028952284,80
3784.0857761336447,-461.54563414189266,80
3825.401796442712,-467.74303718825263,80
3857.4638992952905,-472.5523526161392,80
3882.091097663284,-476.24643237133824,80
3900.8319429804096,-479.05755916890706,80
3914.971721668844,-481.17852597217234,80
3925.555473875885,-482.76608880322846,80
3933.4185197529864,-483.9455456847936,80
3939.2189732070046,-484.81561370289637,80
3943.4689121288848,-485.45310454117845,80
3946.5624365650588,-485.9171332066046,80
3948.7998796134125,-486.2527496638576,80
3950.4080697345253,-486.4939781820244,80
3951.5568979922036,-486.66630242067623,80
-230.00255255875203,-541.6255548868494,90
-229.91392877174547,-540.6236745348396,90
-229.79096409140533,-539.3626531355295,90
-229.62667308675884,-537.7666356337072,90
-229.41132521488274,-535.7343484249784,90
-229.13157229338924,-533.1300950578405,90
-228.76923520669942,-529.7715925223396,90
-228.29964643811053,-525.4137556873538,90
-227.68943370704733,-519.7275684495519,90
-226.8936491105894,-512.2736088031647,90
-225.8522418018344,-502.4711065341796,90
-224.48612305298147,-489.5664650893213,90
-222.6936146905132,-472.6112683184398,90
-220.3490709112421,-450.47029222024383,90
-217.3069833811901,-421.89479231179564,90
-213.41649870207883,-385.70952045118725,90
-208.55140195317435,-341.1555385909882,90
-202.65608498290504,-288.3731461263364,90
-195.7959759740215,-228.8786092466013,90
-188.18503152895823,-165.73854489019337,90
-180.15894926745418,-103.14805247699009,90
-172.08775904614012,-45.422829147257225,90
-164.26488964657017,4.140414678723568,90
